Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,8,8,11,12,5,7,6,3,1,2,10,9,4,Male,White,Wigglesworth,Applied Mathematics,Yes
I am currently a freshman at Harvard.,8,7,10,11,8,1,9,4,2,3,12,6,5,Female,White,Canaday,Uncertain,No
I am currently a freshman at Harvard.,8,1,8,3,11,10,7,9,2,12,5,6,4,Male,White,Wigglesworth,Classics,No
I am currently a freshman at Harvard.,7,3,10,11,8,5,6,7,1,9,12,4,2,Female,Asian,Wigglesworth,    Molecular and Cellular Biology,No
I am currently a freshman at Harvard.,7,1,12,11,8,5,6,7,3,9,10,4,2,Female,White,Wigglesworth,Earth and Planetary Sciences,No
I am currently a freshman at Harvard.,8,9,10,12,8,4,5,6,1,7,11,3,2,Female,White,Canaday,Economics,Yes
I am currently a freshman at Harvard.,7,7,2,6,10,11,12,8,3,1,5,9,4,Male,Asian,Canaday,Economics,No
I am currently a freshman at Harvard.,5,6,11,12,4,8,9,7,3,5,10,1,2,Male,"White,Hispanic or Latino",Wigglesworth,"Uncertain,Economics,    Philosophy",Yes
I am currently a freshman at Harvard.,6,1,12,11,9,2,4,8,3,10,7,5,6,,,,,No
I am currently a freshman at Harvard.,7,4,8,7,6,9,11,5,2,12,10,3,1,Female,Asian,Straus,Economics,No
I am currently a freshman at Harvard.,8,4,10,11,3,5,7,8,2,9,12,6,1,Male,White,Canaday,Applied Mathematics,No
I am currently a freshman at Harvard.,5,4,12,7,5,10,6,11,1,9,8,3,2,Female,Asian,Weld,"Applied Mathematics,Computer Science",No
I am currently a freshman at Harvard.,8,9,3,2,7,8,12,6,4,11,10,5,1,Male,Asian,Apley,    Mathematics,No
I am currently a freshman at Harvard.,4,3,11,12,5,6,9,4,1,8,10,7,2,Male,"Asian,Middle Eastern or North African",Canaday,Classics,No
I am currently a freshman at Harvard.,5,4,8,6,5,3,9,12,2,11,7,1,10,Female,"White,Hispanic or Latino",Wigglesworth,"Uncertain,Environmental Science and Engineering",No
I am currently a freshman at Harvard.,8,8,12,10,1,6,9,4,3,7,11,5,2,Male,White,Straus,"Computer Science,    Mathematics,    Statistics",No
I am currently a freshman at Harvard.,8,1,10,12,6,8,4,9,3,5,11,7,2,Female,White,Canaday,Government,No
I am currently a freshman at Harvard.,8,10,8,2,5,9,12,6,3,1,7,11,4,Male,Asian,Canaday,Economics,No
I am currently a freshman at Harvard.,5,3,11,9,5,10,6,4,2,7,12,1,8,Male,Middle Eastern or North African,Canaday,Computer Science,No
I am currently a freshman at Harvard.,1,7,6,1,5,12,11,10,8,4,2,3,9,Male,Black or African American,Wigglesworth,Government,No
